Complaint ID,Complaint Text,Category
1,Double payment processed for one subscription on Codecademy.,Payment Issue
2,Course progress is not being saved properly on Codecademy.,Course Access Issue
3,Payment failed but amount debited from my account on Codecademy.,Payment Issue
4,Codecademy instructor provided outdated information.,Instructor Issue
5,Course syllabus skipped key topics on Codecademy.,Misleading Course Description
6,Customer care at Codecademy could not verify my payment successfully.,Customer Support Issue
7,Double payment processed for one subscription on Codecademy.,Payment Issue
8,Codecademy app is not showing the purchased course.,Course Access Issue
9,Course instructions on Codecademy are not clear.,Content Quality Issue
10,Instructor stopped updating the Codecademy course content.,Instructor Issue
11,Instructor ignored multiple questions from learners on Codecademy.,Instructor Issue
12,The Codecademy course content is outdated and not useful.,Content Quality Issue
13,The free course on Codecademy required payment midway.,Misleading Course Description
14,Notifications for project deadlines are not working on Codecademy.,Technical Glitch
15,Instructor profile information on Codecademy was misleading.,Misleading Course Description
16,Customer care at Codecademy could not verify my payment successfully.,Customer Support Issue
17,Support ticket was closed without proper resolution on Codecademy.,Customer Support Issue
18,Multiple certificates generated with conflicting details on Codecademy.,Certificate Issue
19,Practice exercises in Codecademy have coding errors.,Content Quality Issue
20,Incorrect completion date printed on Codecademy certificate.,Certificate Issue
21,Repeated follow-ups to Codecademy customer care were ignored.,Customer Support Issue
22,Codecademy did not provide certificate despite course completion.,Certificate Issue
23,Delayed responses from Codecademy support for urgent payment issues.,Customer Support Issue
24,Codecademy live chat support failed to resolve my issue.,Customer Support Issue
25,Customer care at Codecademy could not verify my payment successfully.,Customer Support Issue
26,Instructor stopped updating the Codecademy course content.,Instructor Issue
27,Unable to access coding exercises in the Codecademy app.,Course Access Issue
28,Refund policy on Codecademy is not clearly explained.,Refund Issue
29,Instructor responses on Codecademy are delayed or missing.,Instructor Issue
30,Downloaded exercises from Codecademy are not opening offline.,Course Access Issue
31,Enrolled course disappeared from my Codecademy dashboard.,Course Access Issue
32,Real-world projects promised by Codecademy were not included.,Content Quality Issue
33,Codecademy refused to provide a refund despite the trial period claim.,Refund Issue
34,Exercise compiler on Codecademy gives false errors.,Technical Glitch
35,Multiple certificates generated with conflicting details on Codecademy.,Certificate Issue
36,Enrolled course disappeared from my Codecademy dashboard.,Course Access Issue
37,Codecademy quizzes are poorly structured and confusing.,Content Quality Issue
38,Practice exercises in Codecademy have coding errors.,Content Quality Issue
39,Codecademy course is stuck at the loading screen.,Course Access Issue
40,Course preview videos on Codecademy did not match the actual course.,Misleading Course Description
41,Unexpected charges applied to my account by Codecademy.,Payment Issue
42,Incorrect billing cycle applied by Codecademy.,Payment Issue
43,Certificate verification fails on Codecademy public link.,Certificate Issue
44,Downloaded exercises from Codecademy are not opening offline.,Course Access Issue
45,Codecademy app is not showing the purchased course.,Course Access Issue
46,Coupon code was applied but no discount was provided on Codecademy.,Payment Issue
47,Codecademy projects do not work as described.,Content Quality Issue
48,Partial refund received from Codecademy without explanation.,Refund Issue
49,Codecademy course is stuck at the loading screen.,Course Access Issue
50,Unable to reach Codecademy support to fix my course access problem.,Customer Support Issue
51,Unable to access the enrolled Codecademy course after payment.,Course Access Issue
52,The free course on Codecademy required payment midway.,Misleading Course Description
53,Incorrect completion date printed on Codecademy certificate.,Certificate Issue
54,Incorrect completion date printed on Codecademy certificate.,Certificate Issue
55,Repeated refund requests were ignored by Codecademy support.,Refund Issue
56,Instructors skipped essential topics in the Codecademy course.,Instructor Issue
57,Support team on Codecademy provided incorrect refund status.,Customer Support Issue
